rfc_page,yr,distinct_editors,total_edits,reverted_edits,first_edit,last_edit,duration_days,revert_rate
Requests_for_comment/Copperchair,2006,3,8,0.0,20060106074735,20220107064259,5845,0.0
Requests_for_comment/Cplot,2006,2,2,0.0,20061227141605,20220107064305,5490,0.0
Requests_for_comment/CrazyInSane,2006,17,48,0.0,20060807202424,20260127213444,7113,0.0
Requests_for_comment/Crown_copyright,2006,2,3,0.0,20060219121114,20070506144518,441,0.0
Requests_for_comment/Cumbey,2006,3,4,0.0,20060524004855,20220504035944,5824,0.0
Requests_for_comment/Curps,2006,9,12,0.0,20060516202715,20220419120616,5817,0.0
Requests_for_comment/Cyde,2006,50,195,0.0,20060423184338,20230302200550,6157,0.0
Requests_for_comment/Cyde2,2006,62,274,0.0,20060507123223,20220525095122,5862,0.0
Requests_for_comment/Dabljuh,2006,30,133,0.0,20060112133242,20220320172325,5911,0.0
Requests_for_comment/DanceScape,2006,5,9,0.0,20060211155405,20220107064345,5809,0.0
Requests_for_comment/Daniel575,2006,22,80,0.0,20060927203005,20220107064353,5581,0.0
Requests_for_comment/Daniel_C._Boyer,2006,2,3,0.0,20060319165754,20230128155747,6159,0.0
Requests_for_comment/Danras,2006,9,17,0.0,20061023072642,20220107064357,5555,0.0
Requests_for_comment/Darwinek,2006,16,59,0.0,20060718175001,20260302125436,7167,0.0
Requests_for_comment/Dbachmann_(2),2006,29,62,0.0,20060101003246,20220521150727,5984,0.0
Requests_for_comment/Deathrocker,2006,4,6,0.0,20060326200443,20220107064446,5766,0.0
Requests_for_comment/Debuskjt,2006,4,20,0.0,20061021052131,20061021225922,0,0.0
Requests_for_comment/Deeceevoice,2006,3,6,0.0,20060208005446,20260129185454,7295,0.0
Requests_for_comment/Deletion_of_VFD,2006,4,10,0.0,20060613094012,20241115143842,6730,0.0
Requests_for_comment/Der_alte_Hexenmeister,2006,13,43,0.0,20060619002453,20220107064504,5681,0.0
Requests_for_comment/Devilmaycares,2006,8,26,0.0,20061028175654,20220107064511,5550,0.0
Requests_for_comment/Discretion_blocks_by_admins,2006,15,34,0.0,20060831223221,20220404134635,5695,0.0
Requests_for_comment/Diyako,2006,6,11,0.0,20060325004139,20060411082605,17,0.0
"Requests_for_comment/Diyako,_Heja_helweda,_Muhamed",2006,3,9,0.0,20060323101600,20060325145023,2,0.0
"Requests_for_comment/Diyako,_Heja_helweda,_Muhamed_1",2006,5,19,0.0,20060321225017,20090813221637,1241,0.0
Requests_for_comment/DotSix,2006,5,7,0.0,20060206013609,20230227094628,6230,0.0
Requests_for_comment/Dr1819,2006,12,50,0.0,20060611003906,20220107064603,5689,0.0
Requests_for_comment/DreamGuy,2006,10,22,0.0,20060531111821,20230315035309,6132,0.0
Requests_for_comment/Duncharris,2006,8,23,0.0,20060110030759,20260402081914,7387,0.0
Requests_for_comment/Durin,2006,3,6,0.0,20060611001521,20220713062815,5876,0.0
Requests_for_comment/Durin_and_fair_use_image_removals,2006,28,51,0.0,20060525172701,20230303044318,6126,0.0
Requests_for_comment/ER_MD,2006,2,3,0.0,20060403232829,20220107064648,5758,0.0
"Requests_for_comment/Economy,_trade,_and_companies",2006,173,1358,18.0,20060106170223,20251229073118,7297,0.013
Requests_for_comment/Ed_Poor_(2),2006,32,115,0.0,20060531203744,20230219022132,6108,0.0
Requests_for_comment/Edinborgarstefan,2006,5,6,0.0,20060107191032,20060114031253,7,0.0
Requests_for_comment/El_Gringo,2006,15,45,0.0,20060906182254,20220107064713,5602,0.0
Requests_for_comment/Elaragirl,2006,31,96,0.0,20061207082552,20240509153943,6363,0.0
Requests_for_comment/Elerner,2006,12,34,0.0,20060116183728,20060718080912,183,0.0
Requests_for_comment/Elk_Salmon,2006,6,20,0.0,20060818231445,20220115190616,5629,0.0
Requests_for_comment/Enforcement,2006,9,16,0.0,20060120143521,20131106233956,2847,0.0
Requests_for_comment/Ericsaindon2,2006,15,38,0.0,20060605075852,20220404134630,5782,0.0
Requests_for_comment/Ernham,2006,9,16,0.0,20061014154059,20220107064744,5564,0.0
Requests_for_comment/Erwin_Walsh,2006,3,6,0.0,20060304155700,20230303044301,6208,0.0
Requests_for_comment/Everyking,2006,5,5,0.0,20060928054722,20230731171308,6150,0.0
Requests_for_comment/Everyone_using_a_username_which_is_against_policy,2006,2,2,0.0,20060620151022,20230210215941,6079,0.0
Requests_for_comment/Example_article,2006,5,5,0.0,20060219162235,20060316223343,25,0.0
Requests_for_comment/Example_user,2006,4,4,0.0,20060403200044,20110815123640,1960,0.0
Requests_for_comment/Eyeonvaughan,2006,20,97,0.0,20060405024726,20220107064817,5756,0.0
Requests_for_comment/F.O.E.,2006,32,64,0.0,20060707232126,20230403091035,6114,0.0
Requests_for_comment/FCYTravis,2006,8,24,0.0,20060925213118,20230210215947,5982,0.0
Requests_for_comment/Fadix,2006,12,42,0.0,20060422142006,20220107064836,5739,0.0
Requests_for_comment/Fairness_And_Accuracy_For_All,2006,28,112,0.0,20061110214531,20230303044241,5957,0.0
Requests_for_comment/Famekeeper,2006,3,4,0.0,20060412111907,20220301070139,5802,0.0
Requests_for_comment/February_userbox_deletion,2006,69,299,0.0,20060220172753,20230218134940,6207,0.0
Requests_for_comment/Ferick,2006,23,63,0.0,20060806010050,20230303044238,6053,0.0
Requests_for_comment/Filmography,2006,29,53,0.0,20061229211905,20230210215956,5887,0.0
Requests_for_comment/Fix_Bayonets!,2006,14,29,0.0,20061107015206,20220107064902,5540,0.0
Requests_for_comment/ForbiddenWord,2006,11,24,0.0,20061018204205,20220107064918,5560,0.0
Requests_for_comment/Former_user_20,2006,91,621,0.0,20060122112402,20210514122606,5591,0.0
Requests_for_comment/FourthAve_FourthAve,2006,11,24,0.0,20060303091652,20220107064925,5789,0.0
Requests_for_comment/Francespeabody,2006,15,32,0.0,20060720044722,20220513185911,5776,0.0
Requests_for_comment/Frater_FiatLux,2006,8,57,0.0,20060621172910,20220107064931,5679,0.0
Requests_for_comment/Freemasonry,2006,18,39,0.0,20060307044417,20211215135653,5762,0.0
Requests_for_comment/Freestylefrappe,2006,5,10,0.0,20060101061133,20230303044230,6270,0.0
Requests_for_comment/FuelWagon_2,2006,3,7,0.0,20060816170015,20220501041655,5737,0.0
Requests_for_comment/Futureobservatory,2006,6,14,0.0,20060512035424,20220107064956,5719,0.0
Requests_for_comment/GRider,2006,5,7,0.0,20060226131730,20230210220010,6193,0.0
Requests_for_comment/GRider2,2006,5,8,0.0,20060525165008,20230210220013,6105,0.0
Requests_for_comment/Gabrielsimon,2006,4,6,1.0,20060606222926,20211010171551,5605,0.167
Requests_for_comment/Gene_Nygaard,2006,15,23,0.0,20060510133240,20220107065037,5721,0.0
Requests_for_comment/Germen,2006,4,5,0.0,20060226095246,20220330105820,5876,0.0
Requests_for_comment/Get-back-world-respect,2006,6,6,0.0,20060208022710,20230726114458,6377,0.0
Requests_for_comment/Ghirlandajo,2006,7,11,0.0,20060202185226,20220404134626,5905,0.0
Requests_for_comment/Gibnews,2006,21,92,0.0,20060710181609,20260119153257,7133,0.0
Requests_for_comment/Glengordon01,2006,7,152,0.0,20060914201055,20220107065114,5594,0.0
Requests_for_comment/Go_for_it!,2006,11,64,0.0,20060407043200,20220204173411,5782,0.0
Requests_for_comment/Grazon,2006,3,5,0.0,20060103092003,20060712002025,190,0.0
Requests_for_comment/Gundagai_editor,2006,23,89,0.0,20060726011124,20230415164937,6107,0.0
Requests_for_comment/Gzornenplatz,2006,2,3,0.0,20060615040020,20230210220016,6084,0.0
Requests_for_comment/Haham_hanuka,2006,6,8,0.0,20060106082508,20230210220019,6244,0.0
Requests_for_comment/Haizum,2006,5,5,0.0,20060207184807,20220107065214,5813,0.0
Requests_for_comment/Halibutt,2006,25,89,0.0,20061104224208,20220404134622,5630,0.0
Requests_for_comment/Hamsacharya_dan,2006,12,106,0.0,20060430052433,20220107065221,5731,0.0
Requests_for_comment/Happyjoe,2006,22,145,0.0,20060223005839,20230305160544,6219,0.0
Requests_for_comment/Hatto,2006,8,37,0.0,20060605060244,20230310133321,6122,0.0
Requests_for_comment/Heja_helweda,2006,5,9,0.0,20060325004135,20090813222039,1237,0.0
Requests_for_comment/Hipocrite,2006,23,87,0.0,20060731220737,20230310134131,6066,0.0
Requests_for_comment/History_Student,2006,10,48,0.0,20060721183133,20230303044134,6069,0.0
Requests_for_comment/History_and_geography,2006,618,4773,27.0,20060101015624,20260518130306,7442,0.006
Requests_for_comment/Hogeye,2006,3,4,0.0,20060110045720,20220107065256,5841,0.0
Requests_for_comment/How_to_present_a_case,2006,17,30,0.0,20060502143341,20170807003618,4115,0.0
Requests_for_comment/Huaiwei,2006,3,4,0.0,20060103140610,20230303044132,6268,0.0
Requests_for_comment/Hurricane_Devon,2006,13,22,0.0,20060504013303,20230303044127,6147,0.0
Requests_for_comment/Iasson,2006,13,18,0.0,20060305022256,20230303044125,6207,0.0
Requests_for_comment/Iloveminun,2006,15,34,0.0,20060604123641,20220107065321,5696,0.0
Requests_for_comment/Imacomp,2006,17,81,0.0,20060622153354,20230303044121,6098,0.0
Requests_for_comment/InShaneee,2006,51,152,0.0,20061101063241,20220107094839,5546,0.0
Requests_for_comment/Insert-Belltower,2006,11,47,0.0,20060721192810,20230310134125,6076,0.0
Requests_for_comment/Irgendwer,2006,11,28,0.0,20060517045059,20220107065355,5714,0.0
Requests_for_comment/Irpen,2006,33,76,0.0,20060623042537,20230303044103,6097,0.0
Requests_for_comment/Israelbeach,2006,23,61,0.0,20060423111141,20250926015503,7096,0.0
Requests_for_comment/Ixfd64,2006,33,64,0.0,20060312103546,20230303044056,6200,0.0
Requests_for_comment/JD_UK,2006,9,36,0.0,20060702013933,20230303044054,6088,0.0
Requests_for_comment/JR_Pietri,2006,9,23,0.0,20060813004547,20230303044052,6046,0.0
Requests_for_comment/JabberMonkey,2006,2,4,0.0,20060131031912,20220107065424,5820,0.0
Requests_for_comment/Jance,2006,24,102,0.0,20061206014326,20220325003532,5588,0.0
Requests_for_comment/Jbolden1517,2006,2,7,0.0,20060611201428,20220107065446,5689,0.0
Requests_for_comment/Jeffrey_O._Gustafson,2006,28,63,0.0,20060109193558,20230407182538,6297,0.0
Requests_for_comment/Jeffrey_Vernon_Merkey,2006,25,71,0.0,20060227073124,20241214053941,6865,0.0
Requests_for_comment/Jersey_Devil,2006,57,164,0.0,20060319235618,20260420230740,7337,0.0
Requests_for_comment/Jimbo_Wales,2006,87,207,0.0,20061024122935,20220415154849,5652,0.0
Requests_for_comment/John_Bambenek,2006,13,30,0.0,20060316000136,20070623102710,464,0.0
Requests_for_comment/John_Henry,2006,2,2,0.0,20060611001538,20220317051318,5758,0.0
Requests_for_comment/JonGwynne,2006,3,3,0.0,20060701192955,20220107065544,5669,0.0
Requests_for_comment/JoshuaSchroeder,2006,2,2,0.0,20060821095748,20220107065547,5618,0.0
Requests_for_comment/KDRGibby,2006,12,31,0.0,20060102182807,20220107065614,5849,0.0
Requests_for_comment/KarlBunker,2006,5,15,0.0,20061014024710,20230303044026,5984,0.0
Requests_for_comment/Kdbuffalo_2,2006,30,66,0.0,20061120054600,20230303044020,5947,0.0
Requests_for_comment/Keetoowah,2006,2,3,0.0,20061108194619,20220107065642,5539,0.0
Requests_for_comment/Kelly_Martin,2006,78,330,0.0,20060103200843,20090715163944,1289,0.0
Requests_for_comment/Kelly_Martin/Deletion_log,2006,3,9,0.0,20060101010910,20070413231513,467,0.0
Requests_for_comment/Kelly_Martin/original,2006,250,1321,0.0,20060101000001,20090715164117,1291,0.0
Requests_for_comment/Kelly_Martin2,2006,122,466,0.0,20060808222739,20090715164300,1072,0.0
Requests_for_comment/Kelly_Martin_3,2006,81,186,0.0,20061206043055,20090716184938,953,0.0
Requests_for_comment/Keltik31,2006,18,81,0.0,20061130210028,20230130081525,5905,0.0
Requests_for_comment/Kerr_avon,2006,7,14,0.0,20061213020537,20230303044018,5924,0.0
Requests_for_comment/Kmaguir1,2006,11,94,0.0,20060829194401,20220107065702,5610,0.0
Requests_for_comment/Kruse56,2006,2,2,0.0,20061010053047,20220107065726,5568,0.0
Requests_for_comment/Kuban_kazak,2006,16,105,0.0,20060705172420,20220107065729,5665,0.0
Requests_for_comment/Kurt_Leyman,2006,14,30,0.0,20060427030045,20230210220047,6133,0.0
Requests_for_comment/Kven_users_RfC,2006,10,51,0.0,20060415203053,20240304125624,6533,0.0
Requests_for_comment/Language_and_linguistics,2006,104,951,13.0,20060108171129,20251013215552,7218,0.014
Requests_for_comment/Larvatus,2006,3,3,0.0,20060102072525,20220107065809,5849,0.0
Requests_for_comment/Laurentdion,2006,5,11,0.0,20060913130208,20220107065812,5595,0.0
Requests_for_comment/Libertas,2006,4,5,0.0,20060525164438,20230731171416,6276,0.0
Requests_for_comment/Licorne,2006,26,111,0.0,20060215193452,20220107065828,5805,0.0
Requests_for_comment/Lindsay_Lohan,2006,1,2,0.0,20060223204058,20060224142033,1,0.0
Requests_for_comment/Linuxbeak,2006,94,259,0.0,20060531025745,20220501041619,5814,0.0
Requests_for_comment/Lir,2006,3,4,0.0,20060224133648,20060729182950,155,0.0
Requests_for_comment/London_bombing,2006,3,5,0.0,20060303234713,20171201174202,4291,0.0
Requests_for_comment/Lordkazan,2006,13,56,0.0,20060929204959,20220107065851,5579,0.0
Requests_for_comment/Lupo,2006,55,207,0.0,20060513122239,20220404134605,5805,0.0
Requests_for_comment/MONGO,2006,60,182,0.0,20060624111029,20230310134150,6103,0.0
Requests_for_comment/MPearl,2006,2,2,0.0,20060413221222,20220107065942,5748,0.0
Requests_for_comment/Maddyfan,2006,14,44,0.0,20060615203242,20230303043942,6105,0.0
Requests_for_comment/Maddyfan/Evidence_of_sockpuppetry,2006,1,7,0.0,20060615223943,20060620005505,5,0.0
Requests_for_comment/Maoririder,2006,6,10,0.0,20060110171556,20220125154919,5859,0.0
Requests_for_comment/MarkSweep_&_Doc_Glasglow,2006,2,2,0.0,20060220180734,20060221045705,1,0.0
Requests_for_comment/Martin2000,2006,2,3,0.0,20060821095803,20211208163059,5588,0.0
Requests_for_comment/Masterhatch,2006,10,30,0.0,20061021033215,20230303043923,5977,0.0
"Requests_for_comment/Maths,_science,_and_technology",2006,481,3367,10.0,20060102044153,20250603073820,7092,0.003
Requests_for_comment/Matthew,2006,35,131,0.0,20060802182436,20220520075743,5770,0.0
Requests_for_comment/Mattisse,2006,22,69,0.0,20061109200212,20230309160746,5964,0.0
Requests_for_comment/Mccready,2006,8,17,0.0,20060418233801,20220301070121,5796,0.0
"Requests_for_comment/Media,_the_arts,_and_architecture",2006,468,3260,22.0,20060101080605,20251108184749,7251,0.007
Requests_for_comment/Mel_Etitis,2006,3,8,0.0,20060928025334,20220504035800,5697,0.0
Requests_for_comment/Mel_Etitis_2,2006,2,13,0.0,20060415230726,20220107070108,5746,0.0
Requests_for_comment/Mel_Ettis,2006,16,35,0.0,20060317123155,20230303043908,6195,0.0
Requests_for_comment/Merecat,2006,40,239,0.0,20060413033727,20230303043903,6168,0.0
Requests_for_comment/Messhermit,2006,3,4,0.0,20060423224919,20220504035755,5855,0.0
Requests_for_comment/Metrics_for_measuring_article_reliability,2006,4,4,0.0,20060401132600,20060906174947,158,0.0
Requests_for_comment/Michael_D._Wolok,2006,13,38,0.0,20060621141300,20070313003426,265,0.0
Requests_for_comment/Michaellovesnyc,2006,14,23,0.0,20060623223223,20230303043858,6097,0.0
Requests_for_comment/Mike_Rosoft_and_Jimfbleak,2006,7,19,0.0,20061201184012,20220107070146,5516,0.0
Requests_for_comment/Mikeabundo,2006,6,13,0.0,20060408025750,20230316131838,6186,0.0
Requests_for_comment/Millwall_F.C,2006,3,12,0.0,20060103021257,20060309172619,65,0.0
Requests_for_comment/Mines45,2006,5,8,0.0,20060621195908,20220107070155,5679,0.0
Requests_for_comment/Mitsos,2006,23,93,0.0,20061207143159,20260302125457,7025,0.0
Requests_for_comment/Molobo,2006,7,12,0.0,20060315225522,20230128155707,6163,0.0
Requests_for_comment/Monicasdude_2,2006,16,31,0.0,20060102082708,20230303043848,6269,0.0
Requests_for_comment/Mooseguy,2006,5,20,0.0,20061225233717,20230303043846,5912,0.0
Requests_for_comment/MostWanted05,2006,2,2,0.0,20060602162238,20220107070238,5698,0.0
Requests_for_comment/Muhamed,2006,2,3,0.0,20060325004117,20060325223958,0,0.0
Requests_for_comment/Nagorno-Karabakh,2006,11,58,0.0,20060221182644,20211019080038,5719,0.0
Requests_for_comment/Naradasupreme,2006,6,17,0.0,20061113201130,20220107070317,5534,0.0
Requests_for_comment/Nescio,2006,6,22,0.0,20060714124954,20230303043743,6076,0.0
Requests_for_comment/Neutrality,2006,4,4,0.0,20060615040027,20240926183721,6678,0.0
Requests_for_comment/NicholasTurnbull,2006,21,106,0.0,20060108042234,20220526085947,5982,0.0
Requests_for_comment/Nicodemus75,2006,5,8,0.0,20060102211818,20230303043737,6269,0.0
Requests_for_comment/NinjaNubian,2006,12,63,0.0,20060912165423,20220107070412,5596,0.0
Requests_for_comment/Nixer,2006,3,4,0.0,20060112145915,20230303043735,6259,0.0
Requests_for_comment/NoseNuggets,2006,5,9,0.0,20060116035232,20220107063134,5835,0.0
Requests_for_comment/Nunh-huh,2006,8,17,0.0,20061105130552,20230210220146,5941,0.0
Requests_for_comment/Omallystwin,2006,7,8,0.0,20061028120457,20220107070444,5550,0.0
Requests_for_comment/Ombudsman,2006,17,63,0.0,20060101195726,20230303043723,6270,0.0
Requests_for_comment/Ozzwald35,2006,3,16,0.0,20061013141849,20220107070501,5565,0.0
Requests_for_comment/PMA,2006,12,36,0.0,20061127010332,20230313165626,5950,0.0
Requests_for_comment/POnju,2006,6,12,0.0,20060928185838,20220107070518,5580,0.0
Requests_for_comment/PUNKNYC,2006,10,46,0.0,20061013231710,20230303043717,5985,0.0
Requests_for_comment/Pansophia,2006,8,28,0.0,20060518110926,20230303043712,6133,0.0
Requests_for_comment/Pat8722,2006,18,53,0.0,20060427140346,20230415164939,6197,0.0
Requests_for_comment/Pigsonthewing,2006,8,13,0.0,20060108180132,20230303043652,6263,0.0
Requests_for_comment/Piotrus,2006,54,236,0.0,20061206121458,20230303043649,5931,0.0
Requests_for_comment/Pjacobi,2006,2,2,0.0,20060912162234,20220107070610,5596,0.0
Requests_for_comment/Plautus_satire,2006,4,4,0.0,20060317031720,20241230195310,6863,0.0
Requests_for_comment/Pnatt_(post-block),2006,10,43,0.0,20060907134545,20230303043638,6021,0.0
"Requests_for_comment/Politics,_government,_and_law",2006,524,4990,28.0,20060102201531,20260605182412,7459,0.006
Requests_for_comment/Prasi90,2006,14,57,0.0,20060314200800,20230227094555,6194,0.0
Requests_for_comment/Pravknight,2006,21,139,0.0,20060823035944,20230302200615,6035,0.0
Requests_for_comment/Proposed_policies,2006,2,2,0.0,20060618222150,20090818042517,1157,0.0
Requests_for_comment/Psychohistorian,2006,17,40,0.0,20061213041742,20211103061447,5439,0.0
Requests_for_comment/Quadell,2006,46,159,0.0,20060130222004,20220402110108,5906,0.0
Requests_for_comment/RJII,2006,7,18,0.0,20060111200819,20220210162539,5874,0.0
Requests_for_comment/RJII_2,2006,14,81,0.0,20060425164604,20220107070718,5736,0.0
Requests_for_comment/RPJ,2006,18,53,0.0,20061107013934,20230303043624,5960,0.0
Requests_for_comment/Rainbowwarrior1977,2006,3,7,0.0,20060611001602,20220708230004,5871,0.0
Requests_for_comment/Rbj,2006,24,65,0.0,20060101194334,20230303043619,6270,0.0
Requests_for_comment/ReferenceDesk,2006,1,2,0.0,20061213152915,20061213153220,0,0.0
Requests_for_comment/Religion_and_philosophy,2006,354,2530,21.0,20060102045948,20251215104246,7287,0.008
Requests_for_comment/Rex071404,2006,3,4,0.0,20060425072010,20220419120552,5838,0.0
Requests_for_comment/Rex0714042,2006,3,4,0.0,20060207023057,20250217013429,6950,0.0
Requests_for_comment/Rick_Norwood,2006,10,17,0.0,20060607144721,20220107070838,5693,0.0
Requests_for_comment/Rjensen,2006,8,29,0.0,20060706020129,20220107070852,5664,0.0
Requests_for_comment/Rms125a@hotmail.com,2006,30,65,0.0,20060328201250,20230303043555,6184,0.0
Requests_for_comment/Robertjkoenig,2006,13,23,0.0,20060103193741,20220107070909,5848,0.0
Requests_for_comment/Rod_Ball,2006,15,54,0.0,20060818144452,20220107070917,5621,0.0
Requests_for_comment/Rrfayette,2006,8,25,0.0,20061115130154,20220107070929,5532,0.0
Requests_for_comment/Rydel,2006,7,20,0.0,20060324183913,20220107070955,5768,0.0
Requests_for_comment/SNIyer1,2006,2,2,0.0,20060218164443,20220417152746,5902,0.0
Requests_for_comment/SNIyer12,2006,10,19,0.0,20060522005014,20220915020710,5960,0.0
Requests_for_comment/SPUI,2006,55,258,0.0,20060331020512,20230309151006,6187,0.0
Requests_for_comment/SafeLibraries.org,2006,10,58,0.0,20060929163157,20220107071019,5579,0.0
Requests_for_comment/Sam_Spade,2006,46,231,0.0,20060404174409,20220413114055,5853,0.0
Requests_for_comment/Sarcelles,2006,13,59,0.0,20060125173848,20230303043537,6246,0.0
Requests_for_comment/Sarner,2006,5,22,0.0,20061020114202,20220107071049,5558,0.0
Requests_for_comment/Sceptre,2006,9,13,0.0,20060802220903,20230210220245,6036,0.0
Requests_for_comment/Scott_Peterson,2006,5,5,0.0,20061211222023,20230210220248,5905,0.0
Requests_for_comment/Scottandrewhutchins,2006,2,2,0.0,20060828154937,20220107071121,5611,0.0
Requests_for_comment/Seabhcan,2006,36,273,0.0,20061118200034,20230130081503,5917,0.0
